Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Cooling CFM,Cooling Tons,Heating CFM,Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Total Cooling Load,Instant Sensible Heating,Delay Sensible Heating,Latent Heating,Total Heating Load
Room 02-07,198,1433.1,2.00,21,21,106,0.21,106,1227,1015,244,2486,-719,-265,0,-992,
Room 02-08,192,1390.0,2.00,20,20,105,0.20,105,1212,990,244,2446,-713,-253,0,-974,
Room 02-09,201,1462.0,2.00,21,21,107,0.21,107,1237,1012,244,2494,-724,-274,0,-1005,
Room 02-10,200,1453.2,2.00,21,21,107,0.21,107,1234,1011,244,2490,-721,-307,0,-1036,
Room 02-11,145,1028.7,1.20,0,0,81,0.17,81,1116,588,299,2003,-569,-508,0,-1076,
Room 02-12,290,2129.1,2.00,26,26,139,0.27,139,1578,1357,259,3194,-1377,-835,0,-2223,
Room 02-13,537,4010.7,0.47,0,0,135,0.25,135,1631,1208,184,3022,-1988,-180,0,-2179,
Room 02-14,196,1418.6,0.16,0,0,49,0.09,49,577,463,65,1105,-703,-88,0,-795,
Room 02-15,130,920.7,1.07,0,0,38,0.09,38,421,373,267,1061,0,-54,0,-54,
Room 02-16,159,1136.4,1.32,0,0,86,0.18,86,1263,552,330,2145,-1138,-722,0,-1860,
Room 02-17,203,1476.2,4.30,65,65,121,0.23,121,1507,1050,198,2755,-395,-73,0,-475,
Room 02-18,208,1516.1,2.00,21,21,115,0.22,115,1347,1080,223,2651,-702,-709,0,-1419,
Room 02-19,193,1400.6,2.00,21,21,113,0.22,113,1307,1081,225,2613,-693,-288,0,-988,
Room 02-20,197,1428.8,2.00,21,21,114,0.22,114,1316,1092,225,2633,-697,-273,0,-978,
Room 02-21,192,1386.1,2.00,20,20,113,0.22,113,1302,1067,225,2594,-691,-261,0,-959,
Room 02-22,195,1414.7,2.00,21,21,113,0.22,113,1312,1075,225,2612,-695,-270,0,-972,
Room 02-23,193,1400.6,2.00,21,21,113,0.22,113,1307,1072,225,2604,-693,-263,0,-963,
Room 02-24,195,1414.7,2.00,21,21,114,0.22,114,1312,1078,225,2615,-695,-266,0,-969,
Room 02-25,190,1372.0,2.00,20,20,112,0.22,112,1297,1067,225,2589,-689,-257,0,-953,
Room 02-26,199,1443.3,2.00,21,21,114,0.22,114,1321,1087,225,2633,-699,-301,0,-1007,
Room 02-27,198,1434.5,2.00,21,21,111,0.22,111,1330,997,258,2585,-690,-690,0,-1388,
Room 02-28,148,1055.9,0.12,0,0,39,0.07,39,429,398,49,877,-523,-46,0,-572,
Room 03-00,1602,11290.1,1.41,85,85,422,0.75,422,4474,4417,91,8982,-1450,-1035,0,-2507,
Room 03-01,209,1520.6,2.00,21,21,109,0.21,109,1267,1018,248,2533,-727,-712,0,-1447,
Room 03-02,196,1418.9,2.00,21,21,105,0.21,105,1219,999,244,2462,-720,-289,0,-1016,
