Report Title
ZONE_Zone 1C,,,,,,,,,,,,,,
Conditions at Time of Space Cooling Peak,,,,,,,,,,,,Conditions at Time of Space Heating Peak
,Peak Time (Mo/D/H:M),,,7/21 17:00:00,,,,,,,,,Peak Time (Mo/D/H:M),,,1/21 24:00:00
,Outside,DB / WB / HR,,87.2,°F,/,71.9,°F,/,94.4,gr/lb,,Outside,DB / WB / HR,,10.7,°F,/,7.4,°F,/,3.5,gr/lb
,Zone,DB / RH / HR,,75.0,°F,/,48.3,%,/,63.2,gr/lb,,Zone,DB / RH / HR,,70.0,°F,/,4.1,%,/,4.5,gr/lb
,Supply Air Dry Bulb Temp,,,58.0,°F,,,,,,,,Supply Air Dry Bulb Temp,,,75.7,°F,,,,,,,Cooling Airflows
,,,,,,,,,,,,,,,,,,,,,,,,Main Fan cfm,378
,,,,Time,,,,,,,Percent,,,,,Time,,,,,,,Percent,Cooling ACH,2.68
,,,Instant,Delay,,,,,,,of,,,,Instant,Delay,,,,,,,of,Sec Fan cfm,0
,,,Sensible,Sensible,,Latent,,,Total,,Total,,,,Sensible,Sensible,,Latent,,,Total,,Total,Input Ventilation cfm,58
,,,(Btu/h),(Btu/h),,(Btu/h),,,(Btu/h),,(%),,,,(Btu/h),(Btu/h),,(Btu/h),,,(Btu/h),,(%),Calculated Ventilation cfm,,58
Roof,,,0,0,,0,,,0,,0.0,Roof,,,0,0,,0,,,0,,0.0,Calculated Ventilation ACH,,0.41
Other Roof,,,0,0,,0,,,0,,0.0,Other Roof,,,0,0,,0,,,0,,0.0,Infiltration cfm,0
Glass,,,0,0,,0,,,0,,0.0,Glass,,,0,0,,0,,,0,,0.0,Min Stop/RH (%),100
Door,,,0,0,,0,,,0,,0.0,Door,,,0,0,,0,,,0,,0.0
Wall,,,0,0,,0,,,0,,0.0,Wall,,,0,0,,0,,,0,,0.0,Heating Airflows
Below-Grade Wall,,,0,0,,0,,,0,,0.0,Below-Grade Wall,,,0,0,,0,,,0,,0.0
Other Wall,,,0,0,,0,,,0,,0.0,Other Wall,,,0,0,,0,,,0,,0.0,Main Fan cfm,378
Partition,,,0,"2,284",,0,,,"2,284",,28.5,Partition,,,0,"-1,885",,0,,,"-1,885",,81.3,Heating ACH,2.68
Exterior Floor,,,0,0,,0,,,0,,0.0,Exterior Floor,,,0,0,,0,,,0,,0.0,Sec Fan cfm,0
Interior Floor,,,0,-135,,0,,,-135,,-1.7,Interior Floor,,,0,54,,0,,,54,,-2.3,Input Ventilation cfm,58
Slab,,,0,0,,0,,,0,,0.0,Slab,,,0,0,,0,,,0,,0.0
