Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Coling Tons, Cooling CFM,Total Cooling Load (Btu/h),Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Heating CFM,Total Heating Load (Btu/h),Instant Sensible Heating,Delay Sensible Heating,Latent Heating
Room 01-17,203.0,1476.2,4.3,65.0,65.0,0.23,121.0,2745.0,1507.0,1040.0,197.0,121.0,-486.0,-394.0,-84.0,0.0
Room 01-18,208.0,1516.1,2.0,21.0,21.0,0.23,120.0,2748.0,1350.0,1174.0,225.0,120.0,-1384.0,-699.0,-676.0,0.0
Room 01-19,193.0,1400.6,2.0,21.0,21.0,0.23,118.0,2702.0,1309.0,1166.0,227.0,118.0,-975.0,-689.0,-278.0,0.0
Room 01-20,197.0,1428.8,2.0,21.0,21.0,0.23,118.0,2718.0,1319.0,1173.0,226.0,118.0,-968.0,-694.0,-267.0,0.0
Room 01-21,188.0,1386.1,2.0,20.0,20.0,0.21,110.0,2540.0,1308.0,1008.0,224.0,110.0,-949.0,-687.0,-255.0,0.0
Room 01-22,170.0,1414.7,2.0,21.0,21.0,0.21,110.0,2532.0,1319.0,990.0,223.0,110.0,-981.0,-690.0,-284.0,0.0
Room 01-23,193.0,1400.6,2.0,21.0,21.0,0.21,111.0,2566.0,1311.0,1031.0,224.0,111.0,-936.0,-690.0,-239.0,0.0
Room 01-24,195.0,1414.7,2.0,21.0,21.0,0.22,112.0,2587.0,1317.0,1046.0,224.0,112.0,-939.0,-692.0,-240.0,0.0
Room 01-25,190.0,1372.0,2.0,20.0,20.0,0.22,113.0,2605.0,1303.0,1077.0,226.0,113.0,-924.0,-685.0,-232.0,0.0
Room 01-26,199.0,1443.3,2.0,21.0,21.0,0.22,116.0,2677.0,1326.0,1125.0,225.0,116.0,-985.0,-695.0,-284.0,0.0
Room 01-27,198.0,1434.5,2.0,21.0,21.0,0.21,108.0,2524.0,1334.0,933.0,257.0,108.0,-1358.0,-687.0,-663.0,0.0
Room 02-00,1602.0,11290.1,1.41,85.0,85.0,0.75,424.0,9013.0,4482.0,4440.0,91.0,424.0,-2502.0,-1442.0,-1039.0,0.0
Room 02-01,209.0,1520.6,2.0,21.0,21.0,0.21,108.0,2530.0,1270.0,1012.0,248.0,108.0,-1442.0,-724.0,-710.0,0.0
Room 02-02,196.0,1418.9,2.0,21.0,21.0,0.2,105.0,2459.0,1222.0,993.0,244.0,105.0,-1012.0,-717.0,-288.0,0.0
Room 02-03,200.0,1447.5,2.0,21.0,21.0,0.21,106.0,2481.0,1232.0,1004.0,244.0,106.0,-1001.0,-721.0,-272.0,0.0
Room 02-04,194.0,1404.5,2.0,21.0,21.0,0.2,105.0,2452.0,1217.0,991.0,244.0,105.0,-982.0,-715.0,-260.0,0.0
Room 02-05,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2479.0,1227.0,1008.0,244.0,106.0,-996.0,-719.0,-269.0,0.0
Room 02-06,196.0,1418.9,2.0,21.0,21.0,0.21,106.0,2476.0,1222.0,1010.0,244.0,106.0,-986.0,-717.0,-262.0,0.0
Room 02-07,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2486.0,1227.0,1015.0,244.0,106.0,-992.0,-719.0,-265.0,0.0
Room 02-08,192.0,1390.0,2.0,20.0,20.0,0.2,105.0,2446.0,1212.0,990.0,244.0,105.0,-974.0,-713.0,-253.0,0.0
Room 02-09,201.0,1462.0,2.0,21.0,21.0,0.21,107.0,2494.0,1237.0,1012.0,244.0,107.0,-1005.0,-724.0,-274.0,0.0
Room 02-10,200.0,1453.2,2.0,21.0,21.0,0.21,107.0,2490.0,1234.0,1011.0,244.0,107.0,-1036.0,-721.0,-307.0,0.0
Room 02-11,145.0,1028.7,1.2,0,0,0.17,81.0,2003.0,1116.0,588.0,299.0,81.0,-1076.0,-569.0,-508.0,0.0
Room 02-12,290.0,2129.1,2.0,26.0,26.0,0.27,139.0,3194.0,1578.0,1357.0,259.0,139.0,-2223.0,-1377.0,-835.0,0.0
Room 02-13,537.0,4010.7,0.47,0,0,0.25,135.0,3022.0,1631.0,1208.0,184.0,135.0,-2179.0,-1988.0,-180.0,0.0
Room 02-14,196.0,1418.6,0.16,0,0,0.09,49.0,1105.0,577.0,463.0,65.0,49.0,-795.0,-703.0,-88.0,0.0
Room 02-15,130.0,920.7,1.07,0,0,0.09,38.0,1061.0,421.0,373.0,267.0,38.0,-54.0,0.0,-54.0,0.0
Room 02-16,159.0,1136.4,1.32,0,0,0.18,86.0,2145.0,1263.0,552.0,330.0,86.0,-1860.0,-1138.0,-722.0,0.0
